LGA,productAccess,mhEducation,mhPractices,sanitationFacilities,ngoCoverage
Gagarawa,,,,,
Garki,,,,,
Gumel,,,,,
Guri,,,,,
Gwaram,,,,,
Gwiwa,,,,,
Hadejia,,,,,
Jahun,,,,,
Kafin Hausa,,,,,
Kazaure,,,,,
Kiri Kasama,,,,,
Kiyawa,,,,,
Kaugama,,,,,
Maigatari,,,,,
Malam Madori,,,,,
Miga,,,,,
Ringim,,,,,
Roni,,,,,
Sule Tankarkar,,,,,
Taura,,,,,
Yankwashi,,,,,
Birnin Gwari,,,,,
Chikun,,,,,
Giwa,,,,,
Igabi,,,,,
Ikara,,,,,
Jaba,,,,,
Jema'a,,,,,
Kachia,,,,,
Kaduna North,,,,,
Kaduna South,,,,,
Kagarko,,,,,
Kajuru,,,,,
Kaura,,,,,
Kauru,,,,,
Kubau,,,,,
Kudan,,,,,
Lere,,,,,
Makarfi,,,,,
Sabon Gari,,,,,
Sanga,,,,,
Soba,,,,,
Zangon Kataf,,,,,
Zaria,3,,,,
Ajingi,,,,,
Albasu,,,,,
Bagwai,,,,,
Bebeji,,,,,
Bichi,,,,,
Bunkure,,,,,
Dala,7.8,,,,
Dambatta,,,,,
Dawakin Kudu,,,,,
Dawakin Tofa,,,,,
Doguwa,,,,,
Fagge,,,,,
Gabasawa,,,,,
Garko,,,,,
Garun Mallam,,,,,
Gaya,,,,,
Gezawa,,,,,
Gwale,,,,,
Gwarzo,,,,,
Kabo,,,,,
Kano Municipal,7.8,,,,
Karaye,,,,,
Kibiya,,,,,
Kiru,,,,,
Kumbotso,,,,,
Kunchi,,,,,
Kura,,,,,
Madobi,,,,,
Makoda,,,,,
Minjibir,,,,,
Nasarawa,7.8,,,,
Rano,,,,,
Rimin Gado,,,,,
Rogo,,,,,
Shanono,,,,,
Sumaila,,,,,
Takai,,,,,
Tarauni,,,,,
Tofa,,,,,
Tsanyawa,,,,,
Tudun Wada,,,,,
Ungogo,,,,,
Warawa,,,,,
Wudil,,,,,
Bakori,,,,,
Batagarawa,,,,,
Batsari,,,,,
Baure,,,,,
Bindawa,,,,,
Charanchi,17.7,57,21,92.9,
Dandume,,,,,
Danja,,,,,
Dan Musa,,,,,
Daura,,,,,
Dutsi,,,,,
Dutsin Ma,,,,,
Faskari,,,,,
Funtua,,,,,
Ingawa,,,,,
Jibia,,,,,
Kafur,,,,,
Kaita,17.7,57,21,92.9,
Kankara,,,,,
Kankia,17.7,57,21,92.9,
Katsina,,,,,
Kurfi,,,,,
Kusada,,,,,
Mai'Adua,,,,,
Malumfashi,,,,,
Mani,,,,,
Mashi,17.7,57,21,92.9,
Matazu,,,,,
Musawa,,,,,
Rimi,,,,,
Sabuwa,,,,,
Safana,,,,,
Sandamu,,,,,
Zango,,,,,
Aleiro,,,,,
Arewa Dandi,,,,,
Argungu,,,,,
Augie,,,,,
Bagudo,,,,,
Birnin Kebbi,,,,,
Bunza,,,,,
Dandi,,,,,
Fakai,,,,,
Gwandu,,,,,
Jega,,,,,
Kalgo,,,,,
Koko/Besse,,,,,
Maiyama,,,,,
Ngaski,,,,,
Sakaba,,,,,
Shanga,,,,,
Suru,,,,,
Wasagu/Danko,,,,,
Yauri,,,,,
Zuru,,,,,
Adavi,,,,,
Ajaokuta,,,,,
Ankpa,,,,,
Bassa,,,,,
Dekina,,,,,
Ibaji,,,,,
Idah,,,,,
Igalamela Odolu,,,,,
Ijumu,,,,,
Kabba/Bunu,,,,,
Kogi,,,,,
Lokoja,,,,,
Mopa Muro,,,,,
Ofu,,,,,
Ogori/Magongo,,,,,
Okehi,,,,,
Okene,,,,,
Olamaboro,,,,,
Omala,,,,,
Yagba East,,,,,
Yagba West,,,,,
Asa,,,,,
Baruten,,,,,
Edu,,,,,
Ekiti,,,,,
Ifelodun,,,,,
Ilorin East,56.5,49,32.5,,
Ilorin South,56.5,49,32.5,,
Ilorin West,56.5,49,32.5,,
Irepodun,,,,,
Isin,,,,,
Kaiama,,,,,
Moro,,,,,
Offa,,,,,
Oke Ero,,,,,
Oyun,,,,,
Pategi,,,,,
Agege,,,,,
Ajeromi-Ifelodun,,,,,
Alimosho,,,,,
Amuwo-Odofin,,,,,
Apapa,,,,,
Badagry,,,,,
Epe,,,,,
Eti Osa,,,,,
Ibeju-Lekki,,,,,
Ifako-Ijaiye,,,,,
Ikeja,,,,,
Ikorodu,,,,,
Kosofe,,,,,
Lagos Island,,,,,
Lagos Mainland,,,,,
Mushin,,,30,,
Ojo,,,,,
Oshodi-Isolo,50,,,,
Shomolu,,,,,
Surulere,,,,,
Akwanga,,,,,
Awe,,,,,
Doma,,,,,
Karu,,,,,
Keana,,,,,
Keffi,,,,,
Kokona,,,,,
Lafia,,,,,
Nasarawa,,,,,
Nasarawa Egon,,,,,
Obi,,,,,
Toto,,,,,
Wamba,,,,,
Agaie,,,,,
Agwara,,,,,
Bida,,,,,
Borgu,,,,,
Bosso,,,,,
Chanchaga,,,,,
Edati,,,,,
Gbako,,,,,
Gurara,,,,,
Katcha,,,,,
Kontagora,,,,,
Lapai,,,,,
Lavun,,,,,
Magama,,,,,
Mariga,,,,,
Mashegu,,,,,
Mokwa,,,,,
Moya,,,,,
Paikoro,,,,,
Rafi,,,,,
Rijau,,,,,
Shiroro,,,,,
Suleja,,,,,
Tafa,,,,,
Wushishi,,,,,
Abeokuta North,,,,,
Abeokuta South,,,,,
Ado-Odo/Ota,,,,,
Egbado North,,,,,
Egbado South,,,,,
Ewekoro,,,,,
Ifo,,,,,
Ijebu East,,,,,
Ijebu North,,,,,
Ijebu North East,,,,,
Ijebu Ode,,48.4,86.6,,
Ikenne,14.7,,9,13.3,
Imeko Afon,,,,,
Ipokia,,,,,
Obafemi Owode,,,,,
Odeda,,,,,
Odogbolu,,,,,
Ogun Waterside,,,,,
Remo North,,,,,
Shagamu,26.6,,7,58.7,
Akoko North-East,,,,,
Akoko North-West,,,,,
Akoko South-West,,,,,
Akoko South-East,,,,,
Akure North,,,,,
Akure South,,,,,
Ese Odo,,,,,
Idanre,,,,,
Ifedore,,,,,
Ilaje,,,,,
Ile Oluji/Okeigbo,,,,,
Irele,,,,,
Odigbo,,,,,
Okitipupa,,,,,
Ondo East,,,,,
Ondo West,,,,,
Ose,,,,,
Owo,,,,,
Atakunmosa East,,,,,
Atakunmosa West,,,,,
Aiyedaade,,,,,
Aiyedire,,,,,
Boluwaduro,,,,,
Boripe,,,,,
Ede North,91.7,,,16.3,
Ede South,,10.3,,47,
Ife Central,10,36.6,,,
Ife East,,,,,
Ife North,,,,,
Ife South,,,,,
Egbedore,,,,,
Ejigbo,,,,,
Ifedayo,,,,,
Ifelodun,,,,,
Ila,,,,,
Ilesa East,,,,,
Ilesa West,,,,,
Irepodun,,,,,
Irewole,,,,,
Isokan,,,,,
Iwo,,,,,
Obokun,,,,,
Odo Otin,,,,,
Ola Oluwa,,,,,
Olorunda,,,,,
Oriade,,,,,
Orolu,,,,,
Osogbo,,,,,
Afijio,,,,,
Akinyele,,,,,
Atiba,,,,,
Atisbo,,,,,
Egbeda,,,,,
Ibadan North,,,,,
Ibadan North-East,,,,,
Ibadan North-West,,,,,
Ibadan South-East,,,,,
Ibadan South-West,,,,,
Ibarapa Central,,,,,
Ibarapa East,,,,,
Ibarapa North,,,,,
Ido,,,,,
Irepo,,,,,
Oyo State,,,,,
Itesiwaju,,,,,
Iwajowa,,,,,
Kajola,,,,,
Lagelu,,49.2,,,
Ogbomosho North,12,23.1,23.7,,
Ogbomosho South,,,,,
Ogo Oluwa,,,,,
Olorunsogo,,,,,
Oluyole,,,,,
Ona Ara,,,,,
Orelope,,,,,
Ori Ire,,,,,
Oyo,,,,,
Oyo East,,,,,
Saki East,,,,,
Saki West,,,,,
Surulere,,,,,
Bokkos,27.8,,,,
Barkin Ladi,,,,,
Bassa,,,,,
Jos East,,,,,
Jos North,10.4,21.9,33,,
Jos South,,,,,
Kanam,,,,,
Kanke,,,,,
Langtang South,,,,,
Langtang North,,,,,
Mangu,,,,,
Mikang,,,,,
Pankshin,,,,,
Qua'an Pan,,,,,
Riyom,,,,,
Shendam,,,,,
Wase,,,,,
Abua/Odual,,,,,
Ahoada East,,,,,
Ahoada West,,,,,
Akuku-Toru,,,,,
Andoni,,,,,
Asari-Toru,,,,,
Bonny,,,,,
Degema,,,,,
Eleme,,,,,
Emuoha,,,,,
Etche,,,,,
Gokana,,,,,
Ikwerre,,,,,
Khana,,,,,
Obio/Akpor,,,,,
Ogba/Egbema/Ndoni,,,,,
Ogu/Bolo,,,,,
Okrika,,,,,
Omuma,,,,,
Opobo/Nkoro,,,,,
Oyigbo,,,,,
Port Harcourt,,,,,
Tai,,,,,
Binji,,,,,
Bodinga,,,,,
Dange Shuni,,,,,
Gada,,,,,
Goronyo,,,,,
Gudu,,,,,
Gwadabawa,,,,,
Illela,,,,,
Isa,,,,,
Kebbe,,,,,
Kware,,,,,
Rabah,,,,,
Sabon Birni,,,,,
Shagari,,,,,
Silame,,,,,
Sokoto North,13,35,44.3,,
Sokoto South,13,35,35,,
Tambuwal,,,,,
Tangaza,,,,,
Tureta,,,,,
Wamako,,,,,
Wurno,,,,,
Yabo,,,,,
Ardo Kola,,,,,
Bali,,,,,
Donga,,,,,
Gashaka,,,,,
Gassol,,,,,
Ibi,,,,,
Jalingo,57.2,30.3,42.4,,
Karim Lamido,,,,,
Kumi,,,,,
Lau,,,,,
Sardauna,,,,,
Takum,,,,,
Ussa,,,,,
Wukari,,,,,
Yorro,,,,,
Zing,,,,,
Bade,,,,,
Bursari,,,,,
Damaturu,,,,,
Fika,,,,,
Fune,,,,,
Geidam,,,,,
Gujba,,,,,
Gulani,,,,,
Jakusko,,,,,
Karasuwa,,,,,
Machina,,,,,
Nangere,,,,,
Nguru,,,,,
Potiskum,,,,,
Tarmuwa,,,,,
Yunusari,,,,,
Yusufari,,,,,
Anka,,,,,
Bakura,,,,,
Birnin Magaji/Kiyaw,,,,,
Bukkuyum,,,,,
Bungudu,,,,,
Gummi,,,,,
Gusau,,,,,
Kaura Namoda,,,,,
Maradun,,,,,
Maru,,,,,
Shinkafi,,,,,
Talata Mafara,,,,,
Chafe,,,,,
Zurmi,,,,,
